ID,Rating
1,4.547875
2,4.023098
3,4.398659
4,4.603213
5,4.463061
6,3.495715
7,4.100079
8,4.082665
9,4.083161
10,3.763127
11,3.559047
12,3.648794
13,3.101849
14,3.703944
15,3.212285
16,2.921104
17,4.203191
18,3.400789
19,3.543309
20,3.152123
21,3.567109
22,3.463709
23,3.803257
24,4.142272
25,4.564345
26,3.302798
27,2.760912
28,3.677459
29,3.190053
30,3.293829
31,3.464733
32,2.706899
33,4.528324
34,2.579955
35,2.650998
36,1.419327
37,3.574478
38,3.563592
39,3.354177
40,3.66823
41,3.394629
42,3.410177
43,3.747892
44,4.116603
45,1.903273
46,3.869842
47,3.825695
48,3.358524
49,4.057994
50,4.156704
51,4.248966
52,4.031893
53,4.536503
54,5
55,4.634867
56,4.233389
57,2.819661
58,3.880279
59,4.011796
60,3.269884
61,3.882931
62,3.592663
63,3.591385
64,3.393825
65,3.644241
66,3.026611
67,3.570571
68,4.692711
69,4.621549
70,2.625843
71,4.039298
72,3.726983
73,3.613912
74,4.32097
75,4.201779
76,3.671324
77,3.48618
78,3.57758
79,4.083362
80,3.961407
81,4.921224
82,3.519069
83,3.508146
84,4.228257
85,4.115331
86,4.727758
87,4.125586
88,4.041278
89,3.97195
90,4.444787
91,4.232289
92,4.181652
93,3.969306
94,4.152523
95,4.714606
96,3.920312
97,4.166584
98,3.164446
99,3.65304
100,3.96758
101,4.208602
102,3.641609
103,3.63286
104,3.9988
105,3.955723
106,3.936834
107,4.607055
108,4.027038
109,3.980307
110,3.444732
111,4.61892
112,4.030515
113,3.799929
114,3.357731
115,3.672239
116,4.743045
117,3.532558
118,3.307607
119,3.966299
120,4.049832
121,2.143735
122,3.93438
123,3.572663
124,2.57953
125,3.154932
126,3.770152
127,3.580351
128,2.34418
129,3.489847
130,3.227871
131,4.180178
132,1.692842
133,3.840577
134,4.216294
135,3.60916
136,3.300792
137,2.456476
138,3.475852
139,3.117961
140,3.170051
141,3.547369
142,2.870734
143,3.506523
144,3.317545
145,3.239529
146,2.985156
147,1.526848
148,3.631533
149,4.004999
150,2.907497
151,3.309489
152,3.755076
153,3.146833
154,3.055074
155,2.02711
156,2.238834
157,2.493333
158,4.162726
159,4.337591
160,2.317335
161,3.854954
162,3.778302
163,3.514531
164,3.325463
165,3.730213
166,3.683528
167,3.096481
168,3.053114
169,3.007376
170,3.245349
171,2.361606
172,4.244861
173,2.868745
174,4.192754
175,3.986998
176,4.245565
177,3.987149
178,4.889901
179,4.346617
180,3.915929
181,3.436168
182,3.749249
183,4.53032
184,4.322577
185,4.650703
186,3.797667
187,4.807998
188,4.406047
189,4.586298
190,2.969119
191,4.106809
192,3.325224
193,4.012179
194,3.904094
195,2.990623
196,3.068575
197,2.051921
198,1.759914
199,4.245955
200,2.365763
201,4.473644
202,2.930345
203,3.963457
204,4.335016
205,3.846757
206,4.324335
207,1.582028
208,3.204816
209,3.515723
210,4.212263
211,4.564493
212,1.04855
213,2.358956
214,3.115238
215,4.278312
216,4.799499
217,2.291563
218,5
219,3.529063
220,3.272363
221,4.308905
222,3.477921
223,3.239167
224,2.26614
225,3.348415
226,4.16009
227,3.674521
228,3.416565
229,3.90463
230,4.239629
231,2.755533
232,4.311902
233,3.263855
234,3.190228
235,2.790992
236,3.025036
237,3.334088
238,3.906163
239,3.541143
240,3.593465
241,3.721528
242,3.835245
243,2.933781
244,4.008362
245,3.70169
246,3.494054
247,3.089007
248,3.853225
249,3.558109
250,4.134976
251,4.417929
252,4.474212
253,2.629968
254,2.706958
255,2.828052
256,2.169183
257,3.268325
258,3.594505
259,3.366543
260,3.216804
261,4.193804
262,2.104576
263,3.616799
264,2.166792
265,2.99826
266,3.796736
267,3.660381
268,3.472621
269,3.48461
270,3.402927
271,2.174898
272,2.477234
273,2.791338
274,2.735588
275,2.979869
276,2.10828
277,2.453826
278,2.797882
279,3.188597
280,3.431211
281,4.298623
282,2.933343
283,3.805533
284,3.544465
285,3.144935
286,3.706245
287,2.995247
288,3.382736
289,3.49564
290,2.948822
291,3.248568
292,3.376656
293,2.756983
294,2.994794
295,3.087306
296,3.67929
297,3.218525
298,3.544713
299,2.986628
300,2.88493
301,3.709185
302,3.844444
303,3.163785
304,3.69653
305,3.363615
306,3.532536
